program,category,bn,name,principal,staffopen,studentopen,receiving_bn,receiving_name,receiving_principal,receiving_address,receiving_borough,receiving_zip,address,latitude,longitude,index
ALL GRADES,3,K253,P.S. 253,LISA SPERONI,"Monday, November 5","Wednesday, November 7",K246,I.S. 246,,72 VERONICA PLACE,BROOKLYN,,601 OCEANVIEW AVENUE Brooklyn NY 11235,40.579582,-73.962118,K253 ALL GRADES
ALL GRADES,3,K288,P.S. 288 THE SHIRLEY TANYHILL,JOELENE-LYNETTE KINARD,"Monday, November 5","Wednesday, November 7",K228,I.S. 228,,228 AVENUE S,BROOKLYN,,2950 WEST  25 STREET Brooklyn NY 11224,40.574593,-73.991983,K288 ALL GRADES
ALL GRADES,3,K303,I.S. 303 HERBERT S. EISENBERG,CARMEN AMADOR,"Monday, November 5","Wednesday, November 7",K400,LAFAYETTE HS,,2630 BENSON AVENUE,BROOKLYN,,501 WEST AVENUE Brooklyn NY 11224,40.582065,-73.97268,K303 ALL GRADES
ALL GRADES,3,K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,EDWARD WILENSKY,"Monday, November 5","Wednesday, November 7",K620,WILLIAM E. GRADY VOC HS,,25 BRIGHTON 4TH ROAD,BROOKLYN,,521 WEST AVENUE Brooklyn NY 11224,40.582086,-73.972848,K344 ALL GRADES
ALL GRADES,3,K744,CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL,JACOB MNOOKIN,"Monday, November 5","Wednesday, November 7",K320,P.S. 375,,46 MCKEEVER PLACE,BROOKLYN,,501 WEST AVENUE Brooklyn NY 11224,40.582065,-73.97268,K744 ALL GRADES
GRADES K-5,3,K329,P.S. 329 Surfside,SALEMA MARBURY,"Monday, November 5","Wednesday, November 7",K216,P.S. 216,,350 AVENUE X,BROOKLYN,,2929 WEST  30 STREET Brooklyn NY 11224,40.574511,-73.996268,K329 GRADES K-5
GRADES 6-8,3,K329,P.S. 329 Surfside,SALEMA MARBURY,"Monday, November 5","Wednesday, November 7",K240,I.S. 240,,2500 NOSTRAND AVENUE,BROOKLYN,,2929 WEST  30 STREET Brooklyn NY 11224,40.574511,-73.996268,K329 GRADES 6-8
GRADES 9-10,3,K540,JOHN DEWEY HIGH SCHOOL,KATHLEEN ELVIN,"Monday, November 5","Wednesday, November 7",K495,SHEEPSHEAD BAY HS,,3000 AVENUE X,BROOKLYN,,50 AVENUE X Brooklyn NY 11223,40.589257,-73.981733,K540 GRADES 9-10
GRADES 11,3,K540,JOHN DEWEY HIGH SCHOOL,KATHLEEN ELVIN,"Monday, November 5","Wednesday, November 7",K425,JAMES MADISON HS,,3787 BEDFORD AVENUE,BROOKLYN,,50 AVENUE X Brooklyn NY 11223,40.589257,-73.981733,K540 GRADES 11
GRADE 12,3,K540,JOHN DEWEY HIGH SCHOOL,KATHLEEN ELVIN,"Monday, November 5","Wednesday, November 7",K400,LAFAYETTE HS,,2630 BENSON AVENUE,BROOKLYN,,50 AVENUE X Brooklyn NY 11223,40.589257,-73.981733,K540 GRADE 12
