program,category,bn,name,principal,staffopen,studentopen,receiving_bn,receiving_name,receiving_principal,receiving_address,receiving_borough,receiving_zip,address,latitude,longitude,index
,2,M313,"James Baldwin School, The A School For Expeditionary Learning",Denise Dicarlo,,,,,,,,,351 WEST  18 STREET Manhattan NY 10011,40.742868,-74.002134,M313 
,2,M392,Manhattan Business Academy,Isora Bailey,,,,,,,,,351 WEST  18 STREET Manhattan NY 10011,40.742868,-74.002134,M392 
,2,M419,Landmark High School,Karen Polsonetti,,,,,,,,,351 WEST  18 STREET Manhattan NY 10011,40.742868,-74.002134,M419 
,2,M422,Quest To Learn,Melody Kellogg,,,,,,,,,351 WEST  18 STREET Manhattan NY 10011,40.742868,-74.002134,M422 
,2,M437,Hudson High School Of Learning Technologies,Santiago Mayol,,,,,,,,,351 WEST  18 STREET Manhattan NY 10011,40.742868,-74.002134,M437 
,2,M605,Humanities Preparatory Academy,Peter Karp,,,,,,,,,351 WEST  18 STREET Manhattan NY 10011,40.742868,-74.002134,M605 
,2,M294,Essex Street Academy,Alicia Perez-Katz,,,,,,,,,350 GRAND STREET Manhattan NY 10002,40.716843,-73.989514,M294 
,2,M305,"Urban Assembly Academy Of Government And Law, The",Brooke Jackson,,,,,,,,,350 GRAND STREET Manhattan NY 10002,40.716843,-73.989514,M305 
,2,M308,Lower Manhattan Arts Academy,Stacy Paige Goldstein,,,,,,,,,350 GRAND STREET Manhattan NY 10002,40.716843,-73.989514,M308 
,2,M543,New Design High School,Darlene Miller,,,,,,,,,350 GRAND STREET Manhattan NY 10002,40.716843,-73.989514,M543 
,2,M545,High School For Dual Language And Asian Studies,Caron Pinkus,,,,,,,,,350 GRAND STREET Manhattan NY 10002,40.716843,-73.989514,M545 
,2,M550,Liberty High School Academy For Newcomers,Robert Gentile,,,,,,,,,250 WEST  18 STREET Manhattan NY 10011,40.741657,-73.99931,M550 
,2,M374,Gramercy Arts High School,Elisa Aragon,,,,,,,,,40 IRVING PLACE Manhattan NY 10003,40.735525,-73.987628,M374 
,2,M399,The High School For Language And Diplomacy,Siv Boletsis,,,,,,,,,40 IRVING PLACE Manhattan NY 10003,40.735525,-73.987628,M399 
,2,M438,International High School At Union Square,Arleen Liquori,,,,,,,,,40 IRVING PLACE Manhattan NY 10003,40.735525,-73.987628,M438 
,2,M460,Washington Irving High School,Anita Manninen Felix,,,,,,,,,40 IRVING PLACE Manhattan NY 10003,40.735525,-73.987628,M460 
,2,M533,Union Square Academy For Health Sciences,Nancy Amling,,,,,,,,,40 IRVING PLACE Manhattan NY 10003,40.735525,-73.987628,M533 
,2,M546,Academy For Software Engineering,Gaylea Prichard-Silvers,,,,,,,,,40 IRVING PLACE Manhattan NY 10003,40.735525,-73.987628,M546 
,2,M407,Institute For Collaborative Education,Sarah Hernandez,,,,,,,,,345 EAST  15TH STREET Manhattan NY 10003,40.73246,-73.983044,M407 
,2,M420,High School For Health Professions And Human Services,Fausto De La Rosa,,,,,,,,,345 EAST  15TH STREET Manhattan NY 10003,40.73246,-73.983044,M420 
,2,M520,Murry Bergtraum High School For Business Careers,Lottie Almonte,,,,,,,,,411 PEARL STREET Manhattan NY 10038,40.710616,-74.000825,M520 
,2,M600,The High School Of Fashion Industries,Bernardo Ascona,,,,,,,,,225 WEST  24 STREET Manhattan NY 10011,40.745128,-73.996003,M600 
,2,M376,Nyc Ischool,Catherine Burch,,,,,,,,,131 AVENUE OF THE AMERICAS Manhattan NY 10013,40.72437,-74.004731,M376 
,2,M615,Chelsea Career And Technical Education High School,Scott Conti,,,,,,,,,131 AVENUE OF THE AMERICAS Manhattan NY 10013,40.72437,-74.004731,M615 
,2,M427,Manhattan Academy For Arts & Language,Li Yan,,,,,,,,,111 EAST  33 STREET Manhattan NY 10016,40.746183,-73.981248,M427 
,2,M432,Murray Hill Academy,Seung Yu,,,,,,,,,111 EAST  33 STREET Manhattan NY 10016,40.746183,-73.981248,M432 
,2,M500,Unity Center For Urban Technologies,Melodee Khristan,,,,,,,,,111 EAST  33 STREET Manhattan NY 10016,40.746183,-73.981248,M500 
,2,M620,Norman Thomas High School,Alan Cheng,,,,,,,,,111 EAST  33 STREET Manhattan NY 10016,40.746183,-73.981248,M620 
,2,M560,High School M560 - City As School,Michael Toise,,,,,,,,,16 CLARKSON STREET Manhattan NY 10014,40.729425,-74.006203,M560 
,2,M413,School Of The Future High School,David Raubvogel,,,,,,,,,127 EAST  22 STREET Manhattan NY 10010,40.738967,-73.985502,M413 
,2,M575,Manhattan Comprehensive Night And Day High School,Daphne Perrini,,,,,,,,,240 2 AVENUE Manhattan NY 10003,40.732709,-73.984661,M575 
,2,M586,Harvey Milk High School,Daryl Blank,,,,,,,,,2-10 ASTOR PLACE Manhattan NY 10003,40.73004,-73.992642,M586 
,2,M411,Baruch College Campus High School,Jeannie Ferrari,,,,,,,,,55 EAST  25 STREET Manhattan NY 10010,40.741807,-73.986199,M411 
,2,M429,Legacy School For Integrated Studies,Brian Rosenbloom,,,,,,,,,34 WEST  14 STREET Manhattan NY 10011,40.736494,-73.994816,M429 
,2,M534,Harvest Collegiate High School,Philip Martin Jr,,,,,,,,,34 WEST  14 STREET Manhattan NY 10011,40.736494,-73.994816,M534 
,2,M260,M.S. 260 Clinton School Writers & Artists,Kelly Mcguire,,,,,,,,,425 WEST 33RD STREET Manhattan NY 10001,40.75319,-73.997791,M260 
,2,M283,Manhattan Theatre Lab High School,Lisa Ostrom,,,,,,,,,122 AMSTERDAM AVENUE Manhattan NY 10023,40.774328,-73.984771,M283 
,2,M299,"High School For Arts, Imagination And Inquiry",Stephen Noonan,,,,,,,,,122 AMSTERDAM AVENUE Manhattan NY 10023,40.774328,-73.984771,M299 
,2,M307,"Urban Assembly School For Media Studies, The",Cordelia Veve,,,,,,,,,122 AMSTERDAM AVENUE Manhattan NY 10023,40.774328,-73.984771,M307 
,2,M492,"High School For Law, Advocacy And Community Justice",Ruth Lacey,,,,,,,,,122 AMSTERDAM AVENUE Manhattan NY 10023,40.774328,-73.984771,M492 
,2,M494,High School Of Arts And Technology,Doreen Conwell,,,,,,,,,122 AMSTERDAM AVENUE Manhattan NY 10023,40.774328,-73.984771,M494 
,2,M541,Manhattan / Hunter Science High School,Anne Geiger,,,,,,,,,122 AMSTERDAM AVENUE Manhattan NY 10023,40.774328,-73.984771,M541 
,2,M479,Beacon High School,Susan Kreisman,,,,,,,,,227-243 WEST 61ST STREET Manhattan NY 10023,40.772153,-73.987839,M479 
,2,X069,P.S. 069 Journey Prep School,Sheila Durant,,,,,,,,,560 THERIOT AVENUE Bronx NY 10473,40.816592,-73.860879,X069 
,2,X107,P.S. 107,Katherine Hamm,,,,,,,,,1695 SEWARD AVENUE Bronx NY 10473,40.818462,-73.86836,X107 
,2,K233,P.S. 233 Langston Hughes,Denean Stephens-Spellman,,,,,,,,,9301 AVENUE B Brooklyn NY 11236,40.651169,-73.913773,K233 
,2,K635,Olympus Academy,Patrick Murray,,,,,,,,,755 EAST  100 STREET Brooklyn NY 11236,40.645627,-73.898804,K635 
,2,K187,The Christa Mcauliffe School,Justin Berman,,,,,,,,,1171 65 STREET Brooklyn NY 11219,40.627773,-74.004438,K187 
,2,K209,P.S. 209 Margaret Mead,Frances Locurcio,,,,,,,,,2609 EAST  7 STREET Brooklyn NY 11235,40.586849,-73.961987,K209 
,2,K216,P.S. 216 Arturo Toscanini,Celia Kaplinsky,,,,,,,,,350 AVENUE X Brooklyn NY 11223,40.590559,-73.969973,K216 
,2,K078,J.H.S. 078 Roy H. Mann,Jacek Polubiec,,,,,,,,,1420 EAST  68 STREET Brooklyn NY 11234,40.621296,-73.912955,K078 
,2,K119,P.S. 119 Amersfort,Lisa Fernandez,,,,,,,,,3829 AVENUE K Brooklyn NY 11210,40.625665,-73.938114,K119 
,2,K236,P.S. 236 Mill Basin,Mary Theresa Nelson,,,,,,,,,6302 AVENUE U Brooklyn NY 11234,40.615989,-73.913002,K236 
,2,K251,P.S. 251 Paerdegat,Steven Boyer,,,,,,,,,1037 EAST  54 STREET Brooklyn NY 11234,40.632609,-73.924454,K251 
,2,K278,J.H.S. 278 Marine Park,Debra Garofalo,,,,,,,,,1925 STUART STREET Brooklyn NY 11229,40.606639,-73.939181,K278 
,2,K312,P.S. 312 Bergen Beach,Diane Denning,,,,,,,,,7103 AVENUE T Brooklyn NY 11234,40.621385,-73.909026,K312 
,2,K178,P.S. 178 Saint Clair Mckelway,Joseph Frantz Henry,,,,,,,,,2163 DEAN STREET Brooklyn NY 11233,40.675037,-73.915816,K178 
,2,Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",John Lavelle,,,,,,,,,69-10 65th Drive Queens NY 11379,40.715339,-73.886269,Q128 
,2,Q307,Pioneer Academy,Cecilia Jackson,,,,,,,,,40-20 100TH STREET Queens NY 11368,40.748823,-73.86516,Q307 
,2,Q032,P.S. 032 State Street,Debra Errico,,,,,,,,,171-11 35 AVENUE Queens NY 11358,40.764763,-73.794704,Q032 
,2,Q129,P.S. 129 Patricia Larkin,Marilyn Alesi,,,,,,,,,128-02 7 AVENUE Queens NY 11356,40.790638,-73.839814,Q129 
,2,Q154,P.S. 154 Queens,Tara Davidson,,,,,,,,,75-02 162 STREET Queens NY 11366,40.726771,-73.806894,Q154 
,2,Q194,J.H.S. 194 William Carr,Jennifer Miller,,,,,,,,,154-60 17 AVENUE Queens NY 11357,40.783655,-73.807914,Q194 
,2,Q098,P.S. 098 The Douglaston School,Sheila Huggins,,,,,,,,,40-20 235 STREET Queens NY 11363,40.769572,-73.749529,Q098 
,2,Q115,P.S. 115 Glen Oaks,James Ambrose,,,,,,,,,80-51 261 STREET Queens NY 11004,40.744108,-73.709845,Q115 
,2,Q178,P.S./ Is 178 Holliswood,Jennifer Ambert,,,,,,,,,189-10 RADNOR ROAD Queens NY 11423,40.724426,-73.777469,Q178 
,2,Q188,P.S. 188 Kingsbury,Janet Caraisco,,,,,,,,,218-12 HARTLAND AVENUE Queens NY 11364,40.736169,-73.75315,Q188 
,2,Q053,M.S. 053 Brian Piccolo,Shawn Rux,,,,,,,,,10-45 NAMEOKE STREET Queens NY 11691,40.60362,-73.7491,Q053 
,2,Q319,Village Academy,Katie Grady,,,,,,,,,10-45 NAMEOKE STREET Queens NY 11691,40.60362,-73.7491,Q319 
,2,Q104,P.S. 104 The Bays Water,Laura Mastrogiovanni,,,,,,,,,26-01 MOTT AVENUE Queens NY 11691,40.608323,-73.7643,Q104 
,2,Q137,M.S. 137 America'S School Of Heroes,James Mckeon,,,,,,,,,109-15 98 STREET Queens NY 11417,40.67814,-73.839965,Q137 
,2,Q146,P.S. 146 Howard Beach,Gregory Jacobs,,,,,,,,,98-01 159 AVENUE Queens NY 11414,40.659872,-73.835108,Q146 
,2,Q155,P.S. 155,Christina Villavicencio,,,,,,,,,130-02 115 AVENUE Queens NY 11420,40.679545,-73.810633,Q155 
,2,Q197,P.S. 197 The Ocean School,Susan Rippe Hofmann,,,,,,,,,825 HICKSVILLE ROAD Queens NY 11691,40.600195,-73.743933,Q197 
,2,Q215,P.S. 215 Lucretia Mott,Lisa Josephson,,,,,,,,,535 BRIAR PLACE Queens NY 11691,40.59922,-73.75828,Q215 
,2,Q362,Wave Preparatory Elementary School,Robin Johnson,,,,,,,,,535 BRIAR PLACE Queens NY 11691,40.59922,-73.75828,Q362 
,2,Q232,P.S. 232 Lindenwood,Linda Alfred,,,,,,,,,153-23 83 STREET Queens NY 11414,40.665721,-73.851172,Q232 
,2,Q253,P.S. 253,Gary Dumornay,,,,,,,,,1307 CENTRAL AVENUE Queens NY 11691,40.607062,-73.749667,Q253 
,2,Q306,New York City Academy For Discovery,Magaly Hicks,,,,,,,,,95-16 89TH AVENUE Queens NY 11421,40.691759,-73.849023,Q306 
,2,Q260,Frederick Douglass Academy Vi High School,Jennifer Flandro,,,,,,,,,8-21 BAY 25 STREET Queens NY 11691,40.60152,-73.762651,Q260 
,2,Q282,Knowledge And Power Preparatory Academy Vi,Jose Merced,,,,,,,,,8-21 BAY 25 STREET Queens NY 11691,40.60152,-73.762651,Q282 
,2,Q302,"Queens High School For Information, Research, And Technology",Doris Lee,,,,,,,,,8-21 BAY 25 STREET Queens NY 11691,40.60152,-73.762651,Q302 
,2,Q309,Academy Of Medical Technology A College Board School,Gemma Ferguson,,,,,,,,,8-21 BAY 25 STREET Queens NY 11691,40.60152,-73.762651,Q309 
,2,Q080,P.S. 080 Thurgood Marshall Magnet,Kersandra Cox,,,,,,,,,171-05 137 AVENUE Queens NY 11434,40.672822,-73.769282,Q080 
,2,Q034,P.S. 034 John Harvard,Pauline Shakespeare,,,,,,,,,104-12 SPRINGFIELD BOULEVARD Queens NY 11429,40.711991,-73.736482,Q034 
,2,Q037,Cynthia Jenkins School,Beverly Mitchell,,,,,,,,,179-37 137 AVENUE Queens NY 11434,40.675894,-73.758472,Q037 
,2,Q116,Ps/Is 116 William C. Hughley,Debra Farrow,,,,,,,,,107-25 WREN PLACE Queens NY 11433,40.700627,-73.782302,Q116 
,2,Q118,P.S. 118 Lorraine Hansberry,Cheryl Jones,,,,,,,,,190-20 109 ROAD Queens NY 11412,40.703582,-73.765832,Q118 
,2,Q136,P.S. 136 Roy Wilkins,Tanya S.T. Walker,,,,,,,,,201-15 115 AVENUE Queens NY 11412,40.698271,-73.752687,Q136 
,2,Q181,P.S. 181 Brookfield,Dina Wheeler,,,,,,,,,148-15 230 STREET Queens NY 11413,40.65615,-73.753186,Q181 
,2,Q192,I.S. 192 The Linden,Harriett Diaz,,,,,,,,,109-89 204 STREET Queens NY 11412,40.706375,-73.753553,Q192 
,2,R001,P.S. 001 Tottenville,Grace Silberstein,,,,,,,,,58 SUMMIT STREET Staten Island NY 10307,40.509105,-74.243846,R001 
,2,R003,P.S. 003 The Margaret Gioiosa School,Judith Wilson,,,,,,,,,80 SOUTH GOFF AVENUE Staten Island NY 10309,40.520728,-74.211277,R003 
,2,R006,P.S. 6 Corporal Allan F. Kivlehan School,Cynthia Difolco,,,,,,,,,555 PAGE AVENUE Staten Island NY 10307,40.510904,-74.231161,R006 
,2,R007,I.S. 007 Elias Bernstein,Nora De Rosa,,,,,,,,,1270 HUGUENOT AVENUE Staten Island NY 10312,40.523833,-74.185998,R007 
,2,R014,P.S. 014 Cornelius Vanderbilt,Nancy Hargett,,,,,,,,,100 TOMPKINS AVENUE Staten Island NY 10304,40.622198,-74.078377,R014 
,2,R078,Ps 78,Vincenza Gallassio,,,,,,,,,100 TOMPKINS AVENUE Staten Island NY 10304,40.622198,-74.078377,R078 
,2,R016,P.S. 016 John J. Driscoll,Robert Rodriguez,,,,,,,,,80 MONROE AVENUE Staten Island NY 10301,40.639708,-74.079143,R016 
,2,R018,P.S. 018 John G. Whittier,Mary Petrone,,,,,,,,,221 BROADWAY Staten Island NY 10310,40.636065,-74.117503,R018 
,2,R019,P.S. 019 The Curtis School,Laura Kump,,,,,,,,,780 POST AVENUE Staten Island NY 10310,40.631195,-74.127264,R019 
,2,R026,P.S. 026 The Carteret School,Mrs. Linda Manfredi,,,,,,,,,4108 VICTORY BOULEVARD Staten Island NY 10314,40.591722,-74.190634,R026 
,2,R029,P.S. 029 Bardwell,John Boyle,,,,,,,,,1581 VICTORY BOULEVARD Staten Island NY 10314,40.613585,-74.116146,R029 
,2,R034,I.S. 034 Tottenville,Melissa Garofalo,,,,,,,,,528 ACADEMY AVENUE Staten Island NY 10307,40.50849,-74.242549,R034 
,2,R035,P.S. 35 The Clove Valley School,Everlidys Robles,,,,,,,,,60 FOOTE AVENUE Staten Island NY 10301,40.613813,-74.099318,R035 
,2,R038,P.S. 038 George Cromwell,Christine Chavez,,,,,,,,,421 LINCOLN AVENUE Staten Island NY 10306,40.575654,-74.101596,R038 
,2,R045,P.S. 045 John Tyler,Linda Hill,,,,,,,,,58 LAWRENCE AVENUE Staten Island NY 10310,40.628526,-74.107142,R045 
,2,R049,I.S. 49 Berta A. Dreyfus,Sharon Fine,,,,,,,,,101 WARREN STREET Staten Island NY 10304,40.620542,-74.081729,R049 
,2,R050,P.S. 050 Frank Hankinson,Annette Esposito,,,,,,,,,200 ADELAIDE AVENUE Staten Island NY 10306,40.56169,-74.124625,R050 
,2,R053,P.S. 053 Bay Terrace,Sophie Scamardella,,,,,,,,,330 DURANT AVENUE Staten Island NY 10308,40.552587,-74.137048,R053 
,2,R445,Port Richmond High School,Louis Bruschi,,,,,,,,,85 ST JOSEPHS AVENUE Staten Island NY 10302,40.633898,-74.142062,R445 
,2,R065,P.S. 65 The Academy Of Innovative Learning,Timothy M. Gannon,,,,,,,,,98 GRANT STREET Staten Island NY 10301,40.634025,-74.078613,R065 
,2,K370,P.S. 370,Susan Goldberg,,,,,,,,,3000 WEST 1 STREET Brooklyn NY 11224,40.576755,-73.969693,K370 
,2,M721,P.S. M721 - Manhattan Occupational Training Center,Antoinette Bello,,,,,,,,,250 WEST HOUSTON STREET Manhattan NY 10014,40.728671,-74.005971,M721 
,2,M751,Manhattan School For Career Development,Ewa Asterita,,,,,,,,,113 EAST  4TH STREET Manhattan NY 10003,40.725677,-73.98819,M751 
,2,R025,South Richmond High School I.S./P.S. 25,Anthony Faiella,,,,,,,,,6581 HYLAN BOULEVARD Staten Island NY 10309,40.5088,-74.222332,R025 
,2,R037,P.S. R037,Mary Mcinerney,,,,,,,,,15 FAIRFIELD STREET Staten Island NY 10308,40.563989,-74.150868,R037 
,2,M080,Manhattan Charter School Ii,Joanne Mejias/Genie Depolo,,,,,,,,,220 HENRY STREET Manhattan NY 10002,40.713767,-73.985443,M080 
,2,M320,Manhattan Charter School,Genie Depolo,,,,,,,,,100 ATTORNEY STREET Manhattan NY 10002,40.718613,-73.984329,M320 
,2,M330,Girls Preparatory Charter School Of New York,Anne Lackritz/Kaitlin Seaver,,,,,,,,,442 EAST HOUSTON STREET Manhattan NY 10002,40.719589,-73.977727,M330 
,2,Q170,Peninsula Preparatory Academy Charter School,Ruth Peets-Butcher,,,,,,,,,611 BEACH  19 STREET Queens NY 11691,40.600613,-73.752056,Q170 
,4,K430,Brooklyn Technical High School,Randy Asher,"Monday, November 5","Wednesday, November 7",,,,,,,29 FT GREENE PLACE Brooklyn NY 11217,40.688879,-73.976927,K430 
,4,K505,Franklin Delano Roosevelt High School,Steven Demarco,"Monday, November 5","Wednesday, November 7",,,,,,,5800 20 AVENUE Brooklyn NY 11204,40.620478,-73.981752,K505 
,4,M468,High School for Health Careers and Sciences,Harris Marmor,"Monday, November 5","Wednesday, November 7",,,,,,,549 AUDUBON AVENUE Manhattan NY 10040,40.85594,-73.927053,M468 
,4,M467,High School for Law and Public Service,Nicholas Politis,"Monday, November 5","Wednesday, November 7",,,,,,,549 AUDUBON AVENUE Manhattan NY 10040,40.85594,-73.927053,M467 
,4,M463,High School for Media and Communications,Ronni Michelen,"Monday, November 5","Wednesday, November 7",,,,,,,549 AUDUBON AVENUE Manhattan NY 10040,40.85594,-73.927053,M463 
,4,M625,High School of Graphic Communication Arts,Brendan Lyons,"Monday, November 5","Wednesday, November 7",,,,,,,439 WEST 49TH STREET Manhattan NY 10019,40.763362,-73.990565,M625 
,4,Q505,Hillcrest High School,Stephen Duch,"Monday, November 5","Wednesday, November 7",,,,,,,160-05 HIGHLAND AVENUE Queens NY 11432,40.708714,-73.802145,Q505 
,4,K684,Millennium Brooklyn HS,Lisa Gioe,"Monday, November 5","Wednesday, November 7",,,,,,,237 7 AVENUE Brooklyn NY 11215,40.669601,-73.97928,K684 
,4,K464,Park Slope Collegiate,Jill Bloomberg,"Monday, November 5","Wednesday, November 7",,,,,,,237 7 AVENUE Brooklyn NY 11215,40.669601,-73.97928,K464 
,4,K463,Secondary School for Journalism,Jodi Radwell,"Monday, November 5","Wednesday, November 7",,,,,,,237 7 AVENUE Brooklyn NY 11215,40.669601,-73.97928,K463 
,4,K462,Secondary School for Law,Oneatha Swinton,"Monday, November 5","Wednesday, November 7",,,,,,,237 7 AVENUE Brooklyn NY 11215,40.669601,-73.97928,K462 
,4,M393,Business of Sports School,,"Monday, November 5","Wednesday, November 7",,,,,,,439 WEST 49TH STREET Manhattan NY 10019,40.763362,-73.990565,M393 
,4,M507,Urban Assembly Gateway School for Technology,,"Monday, November 5","Wednesday, November 7",,,,,,,439 WEST 49TH STREET Manhattan NY 10019,40.763362,-73.990565,M507 
,4,R460,Susan E. Wagner High School,Mr. Gary M. Giordano,"Monday, November 5","Wednesday, November 7",,,,,,,1200 MANOR ROAD Staten Island NY 10314,40.598364,-74.123251,R460 
,4,M462,The College Academy,Peter Sloman,"Monday, November 5","Wednesday, November 7",,,,,,,549 AUDUBON AVENUE Manhattan NY 10040,40.85594,-73.927053,M462 
,4,R455,Tottenville High School,John P. Tuminaro,"Monday, November 5","Wednesday, November 7",,,,,,,100 LUTEN AVENUE Staten Island NY 10312,40.528148,-74.19207,R455 
